order_id,order_date,ship_date,days_to_ship,product_name,category,subcategory,city,province,quantity,unit_price,discount_pct,discounted_price,revenue,cost,profit,payment_method,order_status
AHS-1029,13-Apr-2024,16-Apr-2024,3,Terracotta Bloom Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2999,0,2999,2999,1500,1499,COD,Delivered
AHS-1030,14-Apr-2024,15-Apr-2024,1,Silva Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,3,2650,0.15,2252,6756,4200,2556,JazzCash,Returned
AHS-1031,14-Apr-2024,15-Apr-2024,1,Coco Blossom Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2999,0.2,2399,2399,1500,899,COD,Delivered
AHS-1032,14-Apr-2024,17-Apr-2024,3,Luxury Velvet Rug LV-315,Rugs,Luxury Velvet Rugs,Karachi,Sindh,2,9999,0.1,8999,17998,12400,5598,JazzCash,Delivered
AHS-1033,15-Apr-2024,18-Apr-2024,3,Modern Rug MD-208,Rugs,Modern Rugs,Karachi,Sindh,1,6999,0.28,5039,5039,4000,1039,COD,Delivered
AHS-1034,15-Apr-2024,18-Apr-2024,3,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,8999,0.1,8099,8099,5500,2599,COD,Delivered
AHS-1035,15-Apr-2024,18-Apr-2024,3,Nexus Bedsheet,Bedding,Bed Sheets,Peshawar,KPK,1,2650,0,2650,2650,1400,1250,COD,Delivered
AHS-1036,15-Apr-2024,17-Apr-2024,2,Kitchen Anti-Fatigue Mat,Mats,Mats,Islamabad,ICT,1,2499,0.1,2249,2249,1300,949,COD,Delivered
AHS-1037,16-Apr-2024,21-Apr-2024,5,Chestnut Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Rawalpindi,Punjab,1,5999,0,5999,5999,3200,2799,Bank Transfer,Delivered
AHS-1038,16-Apr-2024,18-Apr-2024,2,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Quetta,Balochistan,3,8999,0,8999,26997,16500,10497,Bank Transfer,Delivered
AHS-1039,16-Apr-2024,17-Apr-2024,1,Lavender Stripe Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2999,0,2999,2999,1500,1499,COD,Delivered
AHS-1040,16-Apr-2024,19-Apr-2024,3,Luxury Velvet Rug LV-312,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,9999,0.1,8999,8999,6200,2799,JazzCash,Delivered
AHS-1041,17-Apr-2024,18-Apr-2024,1,Modern Rug MD-212,Rugs,Modern Rugs,Karachi,Sindh,2,8999,0,8999,17998,11000,6998,JazzCash,Delivered
AHS-1042,18-Apr-2024,21-Apr-2024,3,Fleece Blanket Purple,Bedding,Blankets,Karachi,Sindh,1,3500,0.1,3150,3150,1800,1350,Bank Transfer,Delivered
AHS-1043,18-Apr-2024,19-Apr-2024,1,Luxury Velvet Rug LV-309,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,8999,0,8999,8999,5500,3499,JazzCash,Delivered
AHS-1044,19-Apr-2024,23-Apr-2024,4,Nexus Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,2,2650,0,2650,5300,2800,2500,COD,Delivered
AHS-1045,19-Apr-2024,22-Apr-2024,3,Coco Blossom Bedsheet,Bedding,Bed Sheets,Faisalabad,Punjab,1,2999,0.1,2699,2699,1500,1199,COD,Delivered
AHS-1046,19-Apr-2024,21-Apr-2024,2,Modern Rug MD-213,Rugs,Modern Rugs,Karachi,Sindh,1,6999,0.1,6299,6299,4000,2299,COD,Delivered
AHS-1047,20-Apr-2024,25-Apr-2024,5,Serenity Bedsheet,Bedding,Bed Sheets,Peshawar,KPK,1,2650,0,2650,2650,1400,1250,EasyPaisa,Delivered
AHS-1048,20-Apr-2024,25-Apr-2024,5,Night Petals Bedsheet,Bedding,Bed Sheets,Quetta,Balochistan,1,2999,0,2999,2999,1500,1499,COD,Delivered
AHS-1049,21-Apr-2024,24-Apr-2024,3,Mosaic Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,3,2650,0.15,2252,6756,4200,2556,Bank Transfer,Delivered
AHS-1050,21-Apr-2024,22-Apr-2024,1,Coco Blossom Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Karachi,Sindh,2,5999,0,5999,11998,6400,5598,EasyPaisa,Delivered
AHS-1051,21-Apr-2024,23-Apr-2024,2,Rosewood Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Multan,Punjab,1,5999,0,5999,5999,3200,2799,COD,Delivered
AHS-1052,22-Apr-2024,25-Apr-2024,3,Rosewood Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Lahore,Punjab,1,5999,0,5999,5999,3200,2799,COD,Delivered
AHS-1053,22-Apr-2024,26-Apr-2024,4,Luxury Velvet Rug LV-318,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,2,8999,0,8999,17998,11000,6998,EasyPaisa,Delivered
AHS-1054,22-Apr-2024,24-Apr-2024,2,Grey Blossom Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,3,2999,0,2999,8997,4500,4497,COD,Delivered
AHS-1055,22-Apr-2024,25-Apr-2024,3,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Islamabad,ICT,1,11999,0,11999,11999,7500,4499,COD,Delivered
AHS-1056,23-Apr-2024,26-Apr-2024,3,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Karachi,Sindh,3,11999,0.1,10799,32397,22500,9897,Bank Transfer,Delivered
AHS-1057,24-Apr-2024,25-Apr-2024,1,Rosewood Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Lahore,Punjab,1,5999,0.15,5099,5099,3200,1899,COD,Delivered
AHS-1058,24-Apr-2024,25-Apr-2024,1,Luxury Velvet Rug LV-304,Rugs,Luxury Velvet Rugs,Islamabad,ICT,1,8999,0,8999,8999,5500,3499,Bank Transfer,Delivered
AHS-1059,24-Apr-2024,29-Apr-2024,5,Luxury Velvet Rug LV-324,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,1,8999,0.15,7649,7649,5500,2149,Bank Transfer,Delivered
AHS-1060,25-Apr-2024,29-Apr-2024,4,Water Absorbent Anti-Slip Mat Set,Mats,Mats,Multan,Punjab,1,2099,0,2099,2099,1100,999,Bank Transfer,Delivered
AHS-1061,25-Apr-2024,28-Apr-2024,3,Modern Rug MD-205,Rugs,Modern Rugs,Lahore,Punjab,1,8999,0.1,8099,8099,5500,2599,JazzCash,Delivered
AHS-1062,25-Apr-2024,28-Apr-2024,3,Coco Blossom Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,1,2999,0.15,2549,2549,1500,1049,COD,Delivered
AHS-1063,26-Apr-2024,27-Apr-2024,1,Luxury Velvet Rug LV-304,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,8999,0,8999,8999,5500,3499,COD,Delivered
AHS-1064,26-Apr-2024,27-Apr-2024,1,Modern Rug MD-205,Rugs,Modern Rugs,Lahore,Punjab,1,8999,0,8999,8999,5500,3499,COD,Delivered
AHS-1065,26-Apr-2024,1-May-2024,5,Night Petals Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,1,2999,0.15,2549,2549,1500,1049,COD,Delivered
AHS-1066,27-Apr-2024,28-Apr-2024,1,Moonlace Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Karachi,Sindh,3,5999,0.1,5399,16197,9600,6597,COD,Delivered
AHS-1067,27-Apr-2024,29-Apr-2024,2,Modern Rug MD-205,Rugs,Modern Rugs,Karachi,Sindh,1,8999,0.1,8099,8099,5500,2599,COD,Delivered
AHS-1068,27-Apr-2024,29-Apr-2024,2,Modern Rug MD-211,Rugs,Modern Rugs,Lahore,Punjab,2,8999,0.1,8099,16198,11000,5198,EasyPaisa,Delivered
AHS-1069,27-Apr-2024,30-Apr-2024,3,Fleece Blanket Purple,Bedding,Blankets,Faisalabad,Punjab,2,3500,0,3500,7000,3600,3400,COD,Delivered
AHS-1070,27-Apr-2024,28-Apr-2024,1,Fleece Blanket Grey,Bedding,Blankets,Lahore,Punjab,2,3500,0,3500,7000,3600,3400,EasyPaisa,Delivered
AHS-1071,29-Apr-2024,1-May-2024,2,Terracotta Bloom Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2999,0,2999,2999,1500,1499,COD,Delivered
AHS-1072,30-Apr-2024,3-May-2024,3,Modern Rug MD-213,Rugs,Modern Rugs,Lahore,Punjab,1,6999,0.15,5949,5949,4000,1949,EasyPaisa,Delivered
AHS-1073,30-Apr-2024,5-May-2024,5,Mosaic Bedsheet,Bedding,Bed Sheets,Peshawar,KPK,2,2650,0,2650,5300,2800,2500,COD,Delivered
AHS-1074,30-Apr-2024,2-May-2024,2,Luxury Velvet Rug LV-324,Rugs,Luxury Velvet Rugs,Islamabad,ICT,2,8999,0.15,7649,15298,11000,4298,COD,Delivered
AHS-1075,30-Apr-2024,2-May-2024,2,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,11999,0.15,10199,10199,7500,2699,Bank Transfer,Delivered
AHS-1076,1-May-2024,3-May-2024,2,Terracotta Bloom Bedsheet,Bedding,Bed Sheets,Sialkot,Punjab,1,2999,0.2,2399,2399,1500,899,Bank Transfer,Delivered
AHS-1077,1-May-2024,3-May-2024,2,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,11999,0,11999,11999,7500,4499,COD,Delivered
AHS-1078,3-May-2024,5-May-2024,2,Luxury Velvet Rug LV-309,Rugs,Luxury Velvet Rugs,Faisalabad,Punjab,1,8999,0.15,7649,7649,5500,2149,COD,Delivered
AHS-1079,4-May-2024,7-May-2024,3,Modern Rug MD-207,Rugs,Modern Rugs,Karachi,Sindh,1,6999,0.28,5039,5039,4000,1039,Bank Transfer,Delivered
AHS-1080,4-May-2024,7-May-2024,3,Serenity Bedsheet,Bedding,Bed Sheets,Faisalabad,Punjab,3,2650,0,2650,7950,4200,3750,COD,Delivered
AHS-1081,4-May-2024,7-May-2024,3,Modern Rug MD-207,Rugs,Modern Rugs,Rawalpindi,Punjab,1,6999,0,6999,6999,4000,2999,EasyPaisa,Delivered
AHS-1082,4-May-2024,9-May-2024,5,Chestnut Bedsheet,Bedding,Bed Sheets,Faisalabad,Punjab,1,2999,0,2999,2999,1500,1499,JazzCash,Delivered
AHS-1083,4-May-2024,8-May-2024,4,Luxury Velvet Rug LV-318,Rugs,Luxury Velvet Rugs,Hyderabad,Sindh,1,8999,0.1,8099,8099,5500,2599,COD,Delivered
AHS-1084,5-May-2024,7-May-2024,2,Chestnut Bedsheet,Bedding,Bed Sheets,Multan,Punjab,1,2999,0,2999,2999,1500,1499,Bank Transfer,Delivered
AHS-1085,5-May-2024,9-May-2024,4,Modern Rug MD-211,Rugs,Modern Rugs,Rawalpindi,Punjab,1,8999,0.1,8099,8099,5500,2599,COD,Delivered
AHS-1086,5-May-2024,10-May-2024,5,Modern Rug MD-205,Rugs,Modern Rugs,Rawalpindi,Punjab,1,8999,0.15,7649,7649,5500,2149,COD,Returned
AHS-1087,5-May-2024,6-May-2024,1,Modern Rug MD-205,Rugs,Modern Rugs,Lahore,Punjab,2,8999,0,8999,17998,11000,6998,EasyPaisa,Delivered
AHS-1088,7-May-2024,9-May-2024,2,Fleece Blanket Grey,Bedding,Blankets,Peshawar,KPK,1,3500,0.1,3150,3150,1800,1350,COD,Delivered
AHS-1089,8-May-2024,12-May-2024,4,Modern Rug MD-208,Rugs,Modern Rugs,Peshawar,KPK,1,6999,0,6999,6999,4000,2999,COD,Delivered
AHS-1090,8-May-2024,9-May-2024,1,Water Absorbent Anti-Slip Mat Set,Mats,Mats,Karachi,Sindh,3,2099,0,2099,6297,3300,2997,COD,Delivered
AHS-1091,9-May-2024,12-May-2024,3,Modern Rug MD-207,Rugs,Modern Rugs,Rawalpindi,Punjab,1,6999,0.15,5949,5949,4000,1949,COD,Delivered
AHS-1092,9-May-2024,13-May-2024,4,Luxury Velvet Rug LV-304,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,1,8999,0.1,8099,8099,5500,2599,JazzCash,Delivered
AHS-1093,11-May-2024,13-May-2024,2,Luxury Velvet Rug LV-310,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,1,8999,0,8999,8999,5500,3499,COD,Delivered
AHS-1094,11-May-2024,15-May-2024,4,Modern Rug MD-213,Rugs,Modern Rugs,Hyderabad,Sindh,1,6999,0,6999,6999,4000,2999,COD,Delivered
AHS-1095,12-May-2024,15-May-2024,3,Silva Bedsheet,Bedding,Bed Sheets,Multan,Punjab,1,2650,0,2650,2650,1400,1250,Bank Transfer,Delivered
AHS-1096,12-May-2024,14-May-2024,2,Fleece Blanket Grey,Bedding,Blankets,Karachi,Sindh,1,3500,0,3500,3500,1800,1700,Bank Transfer,Returned
AHS-1097,13-May-2024,15-May-2024,2,Silva Bedsheet,Bedding,Bed Sheets,Peshawar,KPK,1,2650,0.1,2385,2385,1400,985,COD,Delivered
AHS-1098,13-May-2024,15-May-2024,2,Fleece Blanket Purple,Bedding,Blankets,Hyderabad,Sindh,1,3500,0.15,2975,2975,1800,1175,COD,Delivered
AHS-1099,13-May-2024,15-May-2024,2,Night Petals Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2999,0,2999,2999,1500,1499,COD,Cancelled
AHS-1100,14-May-2024,19-May-2024,5,Moonlace Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Faisalabad,Punjab,1,5999,0.2,4799,4799,3200,1599,Bank Transfer,Delivered
AHS-1101,16-May-2024,19-May-2024,3,Luxury Velvet Rug LV-304,Rugs,Luxury Velvet Rugs,Islamabad,ICT,1,8999,0.28,6479,6479,5500,979,EasyPaisa,Delivered
AHS-1102,16-May-2024,18-May-2024,2,Chestnut Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Karachi,Sindh,1,5999,0,5999,5999,3200,2799,COD,Delivered
AHS-1103,17-May-2024,22-May-2024,5,Modern Rug MD-202,Rugs,Modern Rugs,Rawalpindi,Punjab,1,6999,0,6999,6999,4000,2999,COD,Delivered
AHS-1104,17-May-2024,20-May-2024,3,Lavender Stripe Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,3,2999,0.15,2549,7647,4500,3147,Bank Transfer,Delivered
AHS-1105,18-May-2024,19-May-2024,1,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,11999,0,11999,11999,7500,4499,COD,Delivered
AHS-1106,19-May-2024,24-May-2024,5,Coco Blossom Bedsheet,Bedding,Bed Sheets,Multan,Punjab,1,2999,0.15,2549,2549,1500,1049,COD,Delivered
AHS-1107,19-May-2024,21-May-2024,2,Luxury Velvet Rug LV-304,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,3,8999,0.1,8099,24297,16500,7797,COD,Delivered
AHS-1108,19-May-2024,21-May-2024,2,Luxury Velvet Rug LV-326,Rugs,Luxury Velvet Rugs,Faisalabad,Punjab,1,11999,0,11999,11999,7500,4499,Bank Transfer,Delivered
AHS-1109,20-May-2024,22-May-2024,2,Fleece Blanket Grey,Bedding,Blankets,Islamabad,ICT,2,3500,0,3500,7000,3600,3400,COD,Delivered
AHS-1110,20-May-2024,25-May-2024,5,Grey Blossom Bedsheet,Bedding,Bed Sheets,Sialkot,Punjab,1,2999,0.15,2549,2549,1500,1049,COD,Returned
AHS-1111,21-May-2024,24-May-2024,3,Luxury Velvet Rug LV-309,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,8999,0,8999,8999,5500,3499,COD,Delivered
AHS-1112,21-May-2024,26-May-2024,5,Luxury Velvet Rug LV-318,Rugs,Luxury Velvet Rugs,Multan,Punjab,1,8999,0.1,8099,8099,5500,2599,COD,Delivered
AHS-1113,21-May-2024,25-May-2024,4,Modern Rug MD-211,Rugs,Modern Rugs,Multan,Punjab,1,8999,0.2,7199,7199,5500,1699,COD,Delivered
AHS-1114,22-May-2024,27-May-2024,5,Modern Rug MD-208,Rugs,Modern Rugs,Rawalpindi,Punjab,2,6999,0,6999,13998,8000,5998,JazzCash,Delivered
AHS-1115,22-May-2024,25-May-2024,3,Modern Rug MD-208,Rugs,Modern Rugs,Karachi,Sindh,3,6999,0.1,6299,18897,12000,6897,COD,Delivered
AHS-1116,24-May-2024,25-May-2024,1,Opal Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2650,0.28,1908,1908,1400,508,COD,Delivered
AHS-1117,24-May-2024,26-May-2024,2,Night Petals Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,2,2999,0.1,2699,5398,3000,2398,EasyPaisa,Delivered
AHS-1118,25-May-2024,26-May-2024,1,Coco Blossom Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Lahore,Punjab,1,5999,0,5999,5999,3200,2799,Bank Transfer,Delivered
AHS-1119,26-May-2024,27-May-2024,1,Lavender Stripe Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,2,2999,0.1,2699,5398,3000,2398,COD,Returned
AHS-1120,27-May-2024,1-Jun-2024,5,Fleece Blanket Beige,Bedding,Blankets,Faisalabad,Punjab,2,3500,0.1,3150,6300,3600,2700,EasyPaisa,Delivered
AHS-1121,27-May-2024,28-May-2024,1,Modern Rug MD-213,Rugs,Modern Rugs,Lahore,Punjab,1,6999,0.15,5949,5949,4000,1949,JazzCash,Delivered
AHS-1122,27-May-2024,30-May-2024,3,Coco Blossom Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Islamabad,ICT,1,5999,0.15,5099,5099,3200,1899,Bank Transfer,Delivered
AHS-1123,28-May-2024,29-May-2024,1,Luxury Velvet Rug LV-315,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,9999,0.15,8499,8499,6200,2299,COD,Cancelled
AHS-1124,29-May-2024,1-Jun-2024,3,Terracotta Bloom Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2999,0.2,2399,2399,1500,899,COD,Delivered
AHS-1125,29-May-2024,31-May-2024,2,Modern Rug MD-205,Rugs,Modern Rugs,Karachi,Sindh,1,8999,0.2,7199,7199,5500,1699,COD,Cancelled
AHS-1126,29-May-2024,3-Jun-2024,5,Luxury Velvet Rug LV-309,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,1,8999,0,8999,8999,5500,3499,Bank Transfer,Delivered
AHS-1127,29-May-2024,1-Jun-2024,3,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Rawalpindi,Punjab,2,8999,0.1,8099,16198,11000,5198,Bank Transfer,Delivered
AHS-1128,30-May-2024,1-Jun-2024,2,Fleece Blanket Beige,Bedding,Blankets,Sialkot,Punjab,2,3500,0.1,3150,6300,3600,2700,Bank Transfer,Delivered
AHS-1129,30-May-2024,1-Jun-2024,2,Modern Rug MD-202,Rugs,Modern Rugs,Karachi,Sindh,1,6999,0,6999,6999,4000,2999,COD,Delivered
AHS-1130,1-Jun-2024,2-Jun-2024,1,Luxury Velvet Rug LV-312,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,9999,0.1,8999,8999,6200,2799,COD,Delivered
AHS-1131,1-Jun-2024,2-Jun-2024,1,Nexus Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2650,0.15,2252,2252,1400,852,Bank Transfer,Delivered
AHS-1132,1-Jun-2024,5-Jun-2024,4,Modern Rug MD-205,Rugs,Modern Rugs,Rawalpindi,Punjab,1,8999,0.15,7649,7649,5500,2149,COD,Delivered
AHS-1133,2-Jun-2024,4-Jun-2024,2,Modern Rug MD-213,Rugs,Modern Rugs,Karachi,Sindh,1,6999,0,6999,6999,4000,2999,Bank Transfer,Delivered
AHS-1134,2-Jun-2024,4-Jun-2024,2,Fleece Blanket Purple,Bedding,Blankets,Lahore,Punjab,1,3500,0.28,2520,2520,1800,720,COD,Delivered
AHS-1135,2-Jun-2024,4-Jun-2024,2,Premium Bath Mat,Mats,Mats,Lahore,Punjab,1,1999,0.15,1699,1699,1000,699,EasyPaisa,Delivered
AHS-1136,3-Jun-2024,6-Jun-2024,3,Fleece Blanket Grey,Bedding,Blankets,Karachi,Sindh,2,3500,0.15,2975,5950,3600,2350,JazzCash,Cancelled
AHS-1137,3-Jun-2024,6-Jun-2024,3,Modern Rug MD-208,Rugs,Modern Rugs,Multan,Punjab,2,6999,0.15,5949,11898,8000,3898,EasyPaisa,Delivered
AHS-1138,5-Jun-2024,7-Jun-2024,2,Rosewood Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Rawalpindi,Punjab,1,5999,0.15,5099,5099,3200,1899,EasyPaisa,Delivered
AHS-1139,5-Jun-2024,7-Jun-2024,2,Serenity Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2650,0.1,2385,2385,1400,985,COD,Delivered
AHS-1140,7-Jun-2024,11-Jun-2024,4,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Faisalabad,Punjab,1,8999,0,8999,8999,5500,3499,JazzCash,Delivered
AHS-1141,9-Jun-2024,11-Jun-2024,2,Coco Blossom Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,2,2999,0.1,2699,5398,3000,2398,Bank Transfer,Delivered
AHS-1142,9-Jun-2024,12-Jun-2024,3,Chestnut Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2999,0.15,2549,2549,1500,1049,Bank Transfer,Delivered
AHS-1143,9-Jun-2024,11-Jun-2024,2,Luxury Velvet Rug LV-318,Rugs,Luxury Velvet Rugs,Hyderabad,Sindh,2,8999,0,8999,17998,11000,6998,COD,Delivered
AHS-1144,10-Jun-2024,12-Jun-2024,2,Modern Rug MD-205,Rugs,Modern Rugs,Lahore,Punjab,2,8999,0,8999,17998,11000,6998,Bank Transfer,Delivered
AHS-1145,11-Jun-2024,14-Jun-2024,3,Silva Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,1,2650,0.1,2385,2385,1400,985,COD,Returned
